LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PPP,TOT,NATUSD,A,2004,1.36494,
AUS,PPP,TOT,NATUSD,A,2005,1.388356,
AUS,PPP,TOT,NATUSD,A,2006,1.4029,
AUS,PPP,TOT,NATUSD,A,2007,1.426944,
AUS,PPP,TOT,NATUSD,A,2008,1.479073,
AUS,PPP,TOT,NATUSD,A,2009,1.441762,
AUS,PPP,TOT,NATUSD,A,2010,1.501319,
AUS,PPP,TOT,NATUSD,A,2011,1.511052,
AUS,PPP,TOT,NATUSD,A,2012,1.540115,
AUS,PPP,TOT,NATUSD,A,2013,1.447123,
AUS,PPP,TOT,NATUSD,A,2014,1.452489,
AUS,PPP,TOT,NATUSD,A,2015,1.470809,
AUS,PPP,TOT,NATUSD,A,2016,1.485521,
AUT,PPP,TOT,NATUSD,A,1960,0.96508,
AUT,PPP,TOT,NATUSD,A,1961,1.006974,
AUT,PPP,TOT,NATUSD,A,1962,1.02202,
AUT,PPP,TOT,NATUSD,A,1963,1.043092,
AUT,PPP,TOT,NATUSD,A,1964,1.058072,
AUT,PPP,TOT,NATUSD,A,1965,1.087932,
AUT,PPP,TOT,NATUSD,A,1966,1.084075,
AUT,PPP,TOT,NATUSD,A,1967,1.088047,
AUT,PPP,TOT,NATUSD,A,1968,1.067039,
AUT,PPP,TOT,NATUSD,A,1969,1.042291,
AUT,PPP,TOT,NATUSD,A,1970,1.014644,
AUT,PPP,TOT,NATUSD,A,1971,1.025541,
AUT,PPP,TOT,NATUSD,A,1972,1.057692,
AUT,PPP,TOT,NATUSD,A,1973,1.08384,
AUT,PPP,TOT,NATUSD,A,1974,1.088985,
AUT,PPP,TOT,NATUSD,A,1975,1.061027,
AUT,PPP,TOT,NATUSD,A,1976,1.062409,
AUT,PPP,TOT,NATUSD,A,1977,1.052363,
AUT,PPP,TOT,NATUSD,A,1978,1.042252,
AUT,PPP,TOT,NATUSD,A,1979,1.002378,
AUT,PPP,TOT,NATUSD,A,1980,0.970768,
AUT,PPP,TOT,NATUSD,A,1981,0.94751,
AUT,PPP,TOT,NATUSD,A,1982,0.93994,
AUT,PPP,TOT,NATUSD,A,1983,0.93564,
AUT,PPP,TOT,NATUSD,A,1984,0.948304,
AUT,PPP,TOT,NATUSD,A,1985,0.94613,
AUT,PPP,TOT,NATUSD,A,1986,0.954786,
AUT,PPP,TOT,NATUSD,A,1987,0.953721,
AUT,PPP,TOT,NATUSD,A,1988,0.935531,
AUT,PPP,TOT,NATUSD,A,1989,0.927217,
AUT,PPP,TOT,NATUSD,A,1990,0.920963,
AUT,PPP,TOT,NATUSD,A,1991,0.923756,
AUT,PPP,TOT,NATUSD,A,1992,0.93459,
AUT,PPP,TOT,NATUSD,A,1993,0.938039,
AUT,PPP,TOT,NATUSD,A,1994,0.941683,
AUT,PPP,TOT,NATUSD,A,1995,0.939176,
AUT,PPP,TOT,NATUSD,A,1996,0.935215,
AUT,PPP,TOT,NATUSD,A,1997,0.93203,
AUT,PPP,TOT,NATUSD,A,1998,0.923532,
AUT,PPP,TOT,NATUSD,A,1999,0.923906,
AUT,PPP,TOT,NATUSD,A,2000,0.907639,
AUT,PPP,TOT,NATUSD,A,2001,0.922015,
AUT,PPP,TOT,NATUSD,A,2002,0.899797,
AUT,PPP,TOT,NATUSD,A,2003,0.889213,
AUT,PPP,TOT,NATUSD,A,2004,0.878564,
AUT,PPP,TOT,NATUSD,A,2005,0.881939,
AUT,PPP,TOT,NATUSD,A,2006,0.860806,
AUT,PPP,TOT,NATUSD,A,2007,0.869168,
AUT,PPP,TOT,NATUSD,A,2008,0.854424,
AUT,PPP,TOT,NATUSD,A,2009,0.84371,
AUT,PPP,TOT,NATUSD,A,2010,0.841437,
AUT,PPP,TOT,NATUSD,A,2011,0.831374,
AUT,PPP,TOT,NATUSD,A,2012,0.813648,
AUT,PPP,TOT,NATUSD,A,2013,0.797081,
AUT,PPP,TOT,NATUSD,A,2014,0.798797,
AUT,PPP,TOT,NATUSD,A,2015,0.799058,
AUT,PPP,TOT,NATUSD,A,2016,0.80042,
BEL,PPP,TOT,NATUSD,A,1960,0.861825,
BEL,PPP,TOT,NATUSD,A,1961,0.863464,
BEL,PPP,TOT,NATUSD,A,1962,0.857953,
BEL,PPP,TOT,NATUSD,A,1963,0.871225,
BEL,PPP,TOT,NATUSD,A,1964,0.895709,
BEL,PPP,TOT,NATUSD,A,1965,0.9168,
BEL,PPP,TOT,NATUSD,A,1966,0.922523,
BEL,PPP,TOT,NATUSD,A,1967,0.925407,
BEL,PPP,TOT,NATUSD,A,1968,0.905811,
BEL,PPP,TOT,NATUSD,A,1969,0.89597,
BEL,PPP,TOT,NATUSD,A,1970,0.886165,
BEL,PPP,TOT,NATUSD,A,1971,0.890524,
BEL,PPP,TOT,NATUSD,A,1972,0.907843,
BEL,PPP,TOT,NATUSD,A,1973,0.921842,
BEL,PPP,TOT,NATUSD,A,1974,0.952114,
BEL,PPP,TOT,NATUSD,A,1975,0.977362,
BEL,PPP,TOT,NATUSD,A,1976,0.996692,
BEL,PPP,TOT,NATUSD,A,1977,1.008658,
BEL,PPP,TOT,NATUSD,A,1978,0.984172,
BEL,PPP,TOT,NATUSD,A,1979,0.950074,
BEL,PPP,TOT,NATUSD,A,1980,0.907134,
BEL,PPP,TOT,NATUSD,A,1981,0.872312,
BEL,PPP,TOT,NATUSD,A,1982,0.883538,
BEL,PPP,TOT,NATUSD,A,1983,0.897685,
BEL,PPP,TOT,NATUSD,A,1984,0.914075,
BEL,PPP,TOT,NATUSD,A,1985,0.926724,
BEL,PPP,TOT,NATUSD,A,1986,0.933802,
BEL,PPP,TOT,NATUSD,A,1987,0.925905,
BEL,PPP,TOT,NATUSD,A,1988,0.91399,
BEL,PPP,TOT,NATUSD,A,1989,0.921991,
BEL,PPP,TOT,NATUSD,A,1990,0.914107,
BEL,PPP,TOT,NATUSD,A,1991,0.91011,
BEL,PPP,TOT,NATUSD,A,1992,0.920298,
BEL,PPP,TOT,NATUSD,A,1993,0.934806,
BEL,PPP,TOT,NATUSD,A,1994,0.934496,
BEL,PPP,TOT,NATUSD,A,1995,0.926579,
BEL,PPP,TOT,NATUSD,A,1996,0.929,
BEL,PPP,TOT,NATUSD,A,1997,0.928004,
BEL,PPP,TOT,NATUSD,A,1998,0.936378,
BEL,PPP,TOT,NATUSD,A,1999,0.931348,
BEL,PPP,TOT,NATUSD,A,2000,0.900133,
BEL,PPP,TOT,NATUSD,A,2001,0.891514,
BEL,PPP,TOT,NATUSD,A,2002,0.8733,
BEL,PPP,TOT,NATUSD,A,2003,0.877144,
BEL,PPP,TOT,NATUSD,A,2004,0.888818,
BEL,PPP,TOT,NATUSD,A,2005,0.891788,
BEL,PPP,TOT,NATUSD,A,2006,0.875063,
BEL,PPP,TOT,NATUSD,A,2007,0.879975,
BEL,PPP,TOT,NATUSD,A,2008,0.86694,
BEL,PPP,TOT,NATUSD,A,2009,0.850088,
BEL,PPP,TOT,NATUSD,A,2010,0.835824,
BEL,PPP,TOT,NATUSD,A,2011,0.831911,
BEL,PPP,TOT,NATUSD,A,2012,0.822137,
BEL,PPP,TOT,NATUSD,A,2013,0.806166,
BEL,PPP,TOT,NATUSD,A,2014,0.800214,
BEL,PPP,TOT,NATUSD,A,2015,0.801323,
BEL,PPP,TOT,NATUSD,A,2016,0.803617,
CAN,PPP,TOT,NATUSD,A,1960,0.953324,
CAN,PPP,TOT,NATUSD,A,1961,0.94867,
CAN,PPP,TOT,NATUSD,A,1962,0.941626,
CAN,PPP,TOT,NATUSD,A,1963,0.948107,
CAN,PPP,TOT,NATUSD,A,1964,0.957314,
CAN,PPP,TOT,NATUSD,A,1965,0.963874,
CAN,PPP,TOT,NATUSD,A,1966,0.977764,
CAN,PPP,TOT,NATUSD,A,1967,0.992304,
CAN,PPP,TOT,NATUSD,A,1968,0.980698,
CAN,PPP,TOT,NATUSD,A,1969,0.97448,
CAN,PPP,TOT,NATUSD,A,1970,0.930016,
CAN,PPP,TOT,NATUSD,A,1971,0.92784,
CAN,PPP,TOT,NATUSD,A,1972,0.94181,
CAN,PPP,TOT,NATUSD,A,1973,0.979724,
CAN,PPP,TOT,NATUSD,A,1974,1.035595,
CAN,PPP,TOT,NATUSD,A,1975,1.049184,
CAN,PPP,TOT,NATUSD,A,1976,1.089047,
CAN,PPP,TOT,NATUSD,A,1977,1.095134,
CAN,PPP,TOT,NATUSD,A,1978,1.090853,
CAN,PPP,TOT,NATUSD,A,1979,1.108282,
CAN,PPP,TOT,NATUSD,A,1980,1.118988,
CAN,PPP,TOT,NATUSD,A,1981,1.133729,
CAN,PPP,TOT,NATUSD,A,1982,1.16185,
CAN,PPP,TOT,NATUSD,A,1983,1.182128,
CAN,PPP,TOT,NATUSD,A,1984,1.181897,
CAN,PPP,TOT,NATUSD,A,1985,1.183371,
CAN,PPP,TOT,NATUSD,A,1986,1.195547,
CAN,PPP,TOT,NATUSD,A,1987,1.221308,
CAN,PPP,TOT,NATUSD,A,1988,1.233622,
CAN,PPP,TOT,NATUSD,A,1989,1.243422,
CAN,PPP,TOT,NATUSD,A,1990,1.240115,
CAN,PPP,TOT,NATUSD,A,1991,1.237303,
CAN,PPP,TOT,NATUSD,A,1992,1.22789,
CAN,PPP,TOT,NATUSD,A,1993,1.214981,
CAN,PPP,TOT,NATUSD,A,1994,1.207156,
CAN,PPP,TOT,NATUSD,A,1995,1.209224,
CAN,PPP,TOT,NATUSD,A,1996,1.208262,
CAN,PPP,TOT,NATUSD,A,1997,1.201488,
CAN,PPP,TOT,NATUSD,A,1998,1.186445,
CAN,PPP,TOT,NATUSD,A,1999,1.19081,
CAN,PPP,TOT,NATUSD,A,2000,1.227561,
CAN,PPP,TOT,NATUSD,A,2001,1.220112,
CAN,PPP,TOT,NATUSD,A,2002,1.229333,
CAN,PPP,TOT,NATUSD,A,2003,1.226255,
CAN,PPP,TOT,NATUSD,A,2004,1.232587,
CAN,PPP,TOT,NATUSD,A,2005,1.213644,
CAN,PPP,TOT,NATUSD,A,2006,1.205336,
CAN,PPP,TOT,NATUSD,A,2007,1.213055,
CAN,PPP,TOT,NATUSD,A,2008,1.23439,
CAN,PPP,TOT,NATUSD,A,2009,1.201517,
CAN,PPP,TOT,NATUSD,A,2010,1.221134,
CAN,PPP,TOT,NATUSD,A,2011,1.239904,
CAN,PPP,TOT,NATUSD,A,2012,1.244607,
CAN,PPP,TOT,NATUSD,A,2013,1.224,
CAN,PPP,TOT,NATUSD,A,2014,1.230358,
CAN,PPP,TOT,NATUSD,A,2015,1.246954,
CAN,PPP,TOT,NATUSD,A,2016,1.252341,
CZE,PPP,TOT,NATUSD,A,1990,5.552045,
CZE,PPP,TOT,NATUSD,A,1991,7.317885,
CZE,PPP,TOT,NATUSD,A,1992,8.038924,
CZE,PPP,TOT,NATUSD,A,1993,9.501735,
CZE,PPP,TOT,NATUSD,A,1994,10.452003,
CZE,PPP,TOT,NATUSD,A,1995,11.170916,
CZE,PPP,TOT,NATUSD,A,1996,12.090117,
CZE,PPP,TOT,NATUSD,A,1997,12.910444,
CZE,PPP,TOT,NATUSD,A,1998,13.998786,
CZE,PPP,TOT,NATUSD,A,1999,14.22935,
CZE,PPP,TOT,NATUSD,A,2000,14.332718,
CZE,PPP,TOT,NATUSD,A,2001,14.308398,
CZE,PPP,TOT,NATUSD,A,2002,14.458321,
CZE,PPP,TOT,NATUSD,A,2003,14.192708,
CZE,PPP,TOT,NATUSD,A,2004,14.434114,
CZE,PPP,TOT,NATUSD,A,2005,14.562493,
CZE,PPP,TOT,NATUSD,A,2006,14.42765,
CZE,PPP,TOT,NATUSD,A,2007,14.275037,
CZE,PPP,TOT,NATUSD,A,2008,13.916713,
CZE,PPP,TOT,NATUSD,A,2009,13.638086,
CZE,PPP,TOT,NATUSD,A,2010,13.659782,
CZE,PPP,TOT,NATUSD,A,2011,13.345305,
CZE,PPP,TOT,NATUSD,A,2012,13.297699,
CZE,PPP,TOT,NATUSD,A,2013,12.785271,
CZE,PPP,TOT,NATUSD,A,2014,12.70321,
CZE,PPP,TOT,NATUSD,A,2015,13.020574,
CZE,PPP,TOT,NATUSD,A,2016,13.000021,
DNK,PPP,TOT,NATUSD,A,1960,3.941534,
DNK,PPP,TOT,NATUSD,A,1961,4.071686,
DNK,PPP,TOT,NATUSD,A,1962,4.244655,
DNK,PPP,TOT,NATUSD,A,1963,4.424863,
DNK,PPP,TOT,NATUSD,A,1964,4.547297,
DNK,PPP,TOT,NATUSD,A,1965,4.752777,
DNK,PPP,TOT,NATUSD,A,1966,4.957231,
DNK,PPP,TOT,NATUSD,A,1967,5.110157,
DNK,PPP,TOT,NATUSD,A,1968,5.208318,
DNK,PPP,TOT,NATUSD,A,1969,5.28073,
DNK,PPP,TOT,NATUSD,A,1970,6.097199,
DNK,PPP,TOT,NATUSD,A,1971,6.234587,
DNK,PPP,TOT,NATUSD,A,1972,6.54966,
DNK,PPP,TOT,NATUSD,A,1973,6.871309,
DNK,PPP,TOT,NATUSD,A,1974,7.141354,
DNK,PPP,TOT,NATUSD,A,1975,7.408973,
DNK,PPP,TOT,NATUSD,A,1976,7.682262,
DNK,PPP,TOT,NATUSD,A,1977,7.875607,
DNK,PPP,TOT,NATUSD,A,1978,8.017888,
DNK,PPP,TOT,NATUSD,A,1979,7.929967,
DNK,PPP,TOT,NATUSD,A,1980,7.914841,
DNK,PPP,TOT,NATUSD,A,1981,8.013112,
DNK,PPP,TOT,NATUSD,A,1982,8.310448,
DNK,PPP,TOT,NATUSD,A,1983,8.585275,
DNK,PPP,TOT,NATUSD,A,1984,8.785173,
DNK,PPP,TOT,NATUSD,A,1985,8.878083,
DNK,PPP,TOT,NATUSD,A,1986,8.904007,
DNK,PPP,TOT,NATUSD,A,1987,9.095318,
DNK,PPP,TOT,NATUSD,A,1988,9.134315,
DNK,PPP,TOT,NATUSD,A,1989,9.229032,
DNK,PPP,TOT,NATUSD,A,1990,9.131424,
DNK,PPP,TOT,NATUSD,A,1991,9.072299,
DNK,PPP,TOT,NATUSD,A,1992,9.016977,
DNK,PPP,TOT,NATUSD,A,1993,8.858504,
DNK,PPP,TOT,NATUSD,A,1994,8.8097,
DNK,PPP,TOT,NATUSD,A,1995,8.740383,
DNK,PPP,TOT,NATUSD,A,1996,8.720529,
DNK,PPP,TOT,NATUSD,A,1997,8.704429,
DNK,PPP,TOT,NATUSD,A,1998,8.668901,
DNK,PPP,TOT,NATUSD,A,1999,8.752578,
DNK,PPP,TOT,NATUSD,A,2000,8.671479,
DNK,PPP,TOT,NATUSD,A,2001,8.683539,
DNK,PPP,TOT,NATUSD,A,2002,8.561606,
DNK,PPP,TOT,NATUSD,A,2003,8.658039,
DNK,PPP,TOT,NATUSD,A,2004,8.464509,
DNK,PPP,TOT,NATUSD,A,2005,8.569438,
DNK,PPP,TOT,NATUSD,A,2006,8.294639,
DNK,PPP,TOT,NATUSD,A,2007,8.171752,
DNK,PPP,TOT,NATUSD,A,2008,7.944128,
DNK,PPP,TOT,NATUSD,A,2009,7.730936,
DNK,PPP,TOT,NATUSD,A,2010,7.584051,
DNK,PPP,TOT,NATUSD,A,2011,7.466492,
DNK,PPP,TOT,NATUSD,A,2012,7.564136,
DNK,PPP,TOT,NATUSD,A,2013,7.354846,
DNK,PPP,TOT,NATUSD,A,2014,7.328674,
DNK,PPP,TOT,NATUSD,A,2015,7.327533,
DNK,PPP,TOT,NATUSD,A,2016,7.356401,
FIN,PPP,TOT,NATUSD,A,1960,0.381996,
FIN,PPP,TOT,NATUSD,A,1961,0.398527,
FIN,PPP,TOT,NATUSD,A,1962,0.405087,
FIN,PPP,TOT,NATUSD,A,1963,0.419786,
FIN,PPP,TOT,NATUSD,A,1964,0.441983,
FIN,PPP,TOT,NATUSD,A,1965,0.451572,
FIN,PPP,TOT,NATUSD,A,1966,0.456959,
FIN,PPP,TOT,NATUSD,A,1967,0.476907,
FIN,PPP,TOT,NATUSD,A,1968,0.509659,
FIN,PPP,TOT,NATUSD,A,1969,0.504703,
FIN,PPP,TOT,NATUSD,A,1970,0.513119,
FIN,PPP,TOT,NATUSD,A,1971,0.524284,
FIN,PPP,TOT,NATUSD,A,1972,0.543957,
FIN,PPP,TOT,NATUSD,A,1973,0.58693,
FIN,PPP,TOT,NATUSD,A,1974,0.657418,
FIN,PPP,TOT,NATUSD,A,1975,0.68333,
FIN,PPP,TOT,NATUSD,A,1976,0.732792,
FIN,PPP,TOT,NATUSD,A,1977,0.75498,
FIN,PPP,TOT,NATUSD,A,1978,0.758034,
FIN,PPP,TOT,NATUSD,A,1979,0.758378,
FIN,PPP,TOT,NATUSD,A,1980,0.762671,
FIN,PPP,TOT,NATUSD,A,1981,0.778833,
FIN,PPP,TOT,NATUSD,A,1982,0.799836,
FIN,PPP,TOT,NATUSD,A,1983,0.832558,
FIN,PPP,TOT,NATUSD,A,1984,0.872034,
FIN,PPP,TOT,NATUSD,A,1985,0.889161,
FIN,PPP,TOT,NATUSD,A,1986,0.913297,
FIN,PPP,TOT,NATUSD,A,1987,0.928653,
FIN,PPP,TOT,NATUSD,A,1988,0.966136,
FIN,PPP,TOT,NATUSD,A,1989,0.99074,
FIN,PPP,TOT,NATUSD,A,1990,1.005099,
FIN,PPP,TOT,NATUSD,A,1991,0.987884,
FIN,PPP,TOT,NATUSD,A,1992,0.974841,
FIN,PPP,TOT,NATUSD,A,1993,0.969361,
FIN,PPP,TOT,NATUSD,A,1994,0.96665,
FIN,PPP,TOT,NATUSD,A,1995,0.986637,
FIN,PPP,TOT,NATUSD,A,1996,0.993143,
FIN,PPP,TOT,NATUSD,A,1997,0.98973,
FIN,PPP,TOT,NATUSD,A,1998,0.992351,
FIN,PPP,TOT,NATUSD,A,1999,0.992037,
FIN,PPP,TOT,NATUSD,A,2000,0.984143,
FIN,PPP,TOT,NATUSD,A,2001,1.001685,
FIN,PPP,TOT,NATUSD,A,2002,0.998133,
FIN,PPP,TOT,NATUSD,A,2003,1.003181,
FIN,PPP,TOT,NATUSD,A,2004,0.973749,
FIN,PPP,TOT,NATUSD,A,2005,0.979424,
FIN,PPP,TOT,NATUSD,A,2006,0.95373,
FIN,PPP,TOT,NATUSD,A,2007,0.935882,
FIN,PPP,TOT,NATUSD,A,2008,0.912125,
FIN,PPP,TOT,NATUSD,A,2009,0.896479,
FIN,PPP,TOT,NATUSD,A,2010,0.899671,
FIN,PPP,TOT,NATUSD,A,2011,0.898068,
FIN,PPP,TOT,NATUSD,A,2012,0.908495,
FIN,PPP,TOT,NATUSD,A,2013,0.905357,
FIN,PPP,TOT,NATUSD,A,2014,0.90721,
FIN,PPP,TOT,NATUSD,A,2015,0.909225,
FIN,PPP,TOT,NATUSD,A,2016,0.905179,
FRA,PPP,TOT,NATUSD,A,1960,0.555651,
FRA,PPP,TOT,NATUSD,A,1961,0.568996,
FRA,PPP,TOT,NATUSD,A,1962,0.58225,
FRA,PPP,TOT,NATUSD,A,1963,0.610652,
FRA,PPP,TOT,NATUSD,A,1964,0.624771,
FRA,PPP,TOT,NATUSD,A,1965,0.624415,
FRA,PPP,TOT,NATUSD,A,1966,0.620819,
FRA,PPP,TOT,NATUSD,A,1967,0.622692,
FRA,PPP,TOT,NATUSD,A,1968,0.619051,
FRA,PPP,TOT,NATUSD,A,1969,0.62729,
FRA,PPP,TOT,NATUSD,A,1970,0.652881,
FRA,PPP,TOT,NATUSD,A,1971,0.657998,
FRA,PPP,TOT,NATUSD,A,1972,0.673603,
FRA,PPP,TOT,NATUSD,A,1973,0.689077,
FRA,PPP,TOT,NATUSD,A,1974,0.707024,
FRA,PPP,TOT,NATUSD,A,1975,0.736117,
FRA,PPP,TOT,NATUSD,A,1976,0.772901,
FRA,PPP,TOT,NATUSD,A,1977,0.791685,
FRA,PPP,TOT,NATUSD,A,1978,0.808405,
FRA,PPP,TOT,NATUSD,A,1979,0.823798,
FRA,PPP,TOT,NATUSD,A,1980,0.84399,
FRA,PPP,TOT,NATUSD,A,1981,0.862203,
FRA,PPP,TOT,NATUSD,A,1982,0.910037,
FRA,PPP,TOT,NATUSD,A,1983,0.959993,
FRA,PPP,TOT,NATUSD,A,1984,0.992675,
FRA,PPP,TOT,NATUSD,A,1985,1.014372,
FRA,PPP,TOT,NATUSD,A,1986,1.044721,
FRA,PPP,TOT,NATUSD,A,1987,1.044103,
FRA,PPP,TOT,NATUSD,A,1988,1.041175,
FRA,PPP,TOT,NATUSD,A,1989,1.035266,
FRA,PPP,TOT,NATUSD,A,1990,1.024996,
FRA,PPP,TOT,NATUSD,A,1991,1.017468,
FRA,PPP,TOT,NATUSD,A,1992,1.014585,
FRA,PPP,TOT,NATUSD,A,1993,1.007257,
FRA,PPP,TOT,NATUSD,A,1994,0.995504,
FRA,PPP,TOT,NATUSD,A,1995,0.986346,
FRA,PPP,TOT,NATUSD,A,1996,0.982675,
FRA,PPP,TOT,NATUSD,A,1997,0.96976,
FRA,PPP,TOT,NATUSD,A,1998,0.962376,
FRA,PPP,TOT,NATUSD,A,1999,0.952721,
FRA,PPP,TOT,NATUSD,A,2000,0.930388,
FRA,PPP,TOT,NATUSD,A,2001,0.910809,
FRA,PPP,TOT,NATUSD,A,2002,0.900678,
FRA,PPP,TOT,NATUSD,A,2003,0.930988,
FRA,PPP,TOT,NATUSD,A,2004,0.935644,
FRA,PPP,TOT,NATUSD,A,2005,0.916458,
FRA,PPP,TOT,NATUSD,A,2006,0.895501,
FRA,PPP,TOT,NATUSD,A,2007,0.889785,
FRA,PPP,TOT,NATUSD,A,2008,0.881874,
FRA,PPP,TOT,NATUSD,A,2009,0.862944,
FRA,PPP,TOT,NATUSD,A,2010,0.853868,
FRA,PPP,TOT,NATUSD,A,2011,0.841361,
FRA,PPP,TOT,NATUSD,A,2012,0.844301,
FRA,PPP,TOT,NATUSD,A,2013,0.811643,
FRA,PPP,TOT,NATUSD,A,2014,0.807565,
FRA,PPP,TOT,NATUSD,A,2015,0.813835,
FRA,PPP,TOT,NATUSD,A,2016,0.805938,
DEU,PPP,TOT,NATUSD,A,1960,1.242774,
DEU,PPP,TOT,NATUSD,A,1961,1.288992,
DEU,PPP,TOT,NATUSD,A,1962,1.309573,
DEU,PPP,TOT,NATUSD,A,1963,1.330448,
DEU,PPP,TOT,NATUSD,A,1964,1.346592,
DEU,PPP,TOT,NATUSD,A,1965,1.358786,
DEU,PPP,TOT,NATUSD,A,1966,1.358207,
DEU,PPP,TOT,NATUSD,A,1967,1.340967,
DEU,PPP,TOT,NATUSD,A,1968,1.308165,
DEU,PPP,TOT,NATUSD,A,1969,1.295629,
DEU,PPP,TOT,NATUSD,A,1970,1.279112,
DEU,PPP,TOT,NATUSD,A,1971,1.310076,
DEU,PPP,TOT,NATUSD,A,1972,1.31262,
DEU,PPP,TOT,NATUSD,A,1973,1.323295,
DEU,PPP,TOT,NATUSD,A,1974,1.302558,
DEU,PPP,TOT,NATUSD,A,1975,1.259703,
DEU,PPP,TOT,NATUSD,A,1976,1.233638,
DEU,PPP,TOT,NATUSD,A,1977,1.197602,
DEU,PPP,TOT,NATUSD,A,1978,1.158711,
DEU,PPP,TOT,NATUSD,A,1979,1.116135,
DEU,PPP,TOT,NATUSD,A,1980,1.079613,
DEU,PPP,TOT,NATUSD,A,1981,1.028652,
DEU,PPP,TOT,NATUSD,A,1982,1.012935,
DEU,PPP,TOT,NATUSD,A,1983,1.001822,
DEU,PPP,TOT,NATUSD,A,1984,0.986738,
DEU,PPP,TOT,NATUSD,A,1985,0.976461,
DEU,PPP,TOT,NATUSD,A,1986,0.985859,
DEU,PPP,TOT,NATUSD,A,1987,0.973634,
DEU,PPP,TOT,NATUSD,A,1988,0.956604,
DEU,PPP,TOT,NATUSD,A,1989,0.947313,
DEU,PPP,TOT,NATUSD,A,1990,0.94455,
DEU,PPP,TOT,NATUSD,A,1991,0.942324,
DEU,PPP,TOT,NATUSD,A,1992,0.970031,
DEU,PPP,TOT,NATUSD,A,1993,0.986671,
DEU,PPP,TOT,NATUSD,A,1994,0.987019,
DEU,PPP,TOT,NATUSD,A,1995,0.985954,
DEU,PPP,TOT,NATUSD,A,1996,0.975597,
DEU,PPP,TOT,NATUSD,A,1997,0.973432,
DEU,PPP,TOT,NATUSD,A,1998,0.969515,
DEU,PPP,TOT,NATUSD,A,1999,0.954119,
DEU,PPP,TOT,NATUSD,A,2000,0.943231,
DEU,PPP,TOT,NATUSD,A,2001,0.928805,
DEU,PPP,TOT,NATUSD,A,2002,0.913257,
DEU,PPP,TOT,NATUSD,A,2003,0.896992,
DEU,PPP,TOT,NATUSD,A,2004,0.875547,
DEU,PPP,TOT,NATUSD,A,2005,0.872721,
DEU,PPP,TOT,NATUSD,A,2006,0.848345,
DEU,PPP,TOT,NATUSD,A,2007,0.838258,
DEU,PPP,TOT,NATUSD,A,2008,0.820401,
DEU,PPP,TOT,NATUSD,A,2009,0.811086,
DEU,PPP,TOT,NATUSD,A,2010,0.804321,
DEU,PPP,TOT,NATUSD,A,2011,0.788739,
DEU,PPP,TOT,NATUSD,A,2012,0.787246,
